date,open,high,low,close,volume,amount,preclose,pctChg
2020-01-02,4121.3480,4172.6550,4121.3480,4152.2400,18211677184,270105530368.0000,4096.5820,1.358645
2020-01-03,4161.2180,4164.2980,4131.8640,4144.9640,14282624512,215216287744.0000,4152.2400,-0.175231
2020-01-06,4120.5210,4170.6380,4102.3790,4129.2950,17530995200,250182070272.0000,4144.9640,-0.378025
2020-01-07,4137.4010,4161.2500,4135.0970,4160.2270,13948903168,196389060608.0000,4129.2950,0.749087
2020-01-08,4139.6310,4149.8130,4101.9800,4112.3170,16758585088,212406263808.0000,4160.2270,-1.151620
2020-01-09,4145.5340,4165.6570,4143.5920,4164.3690,13688632320,200150351872.0000,4112.3170,1.265758
2020-01-10,4177.5770,4180.9770,4148.4810,4163.1840,11303171840,177827414016.0000,4164.3690,-0.028456
2020-01-13,4166.9250,4203.9880,4148.6000,4203.9880,11969198336,199795490816.0000,4163.1840,0.980115
2020-01-14,4215.1570,4223.5070,4188.0800,4189.8860,12932078336,196221263872.0000,4203.9880,-0.335443
2020-01-15,4186.8810,4193.8680,4150.8790,4166.7340,10463313664,163081932800.0000,4189.8860,-0.552569
2020-01-16,4174.8170,4175.2930,4142.1790,4149.0430,10026764288,156242505728.0000,4166.7340,-0.424577
2020-01-17,4162.1930,4177.0280,4141.6440,4154.8530,9872568320,166591590400.0000,4149.0430,0.140032
2020-01-20,4170.7360,4185.9620,4149.4870,4185.8300,12240914688,202692288512.0000,4154.8530,0.745562
2020-01-21,4165.0200,4165.0200,4113.3250,4114.3080,13052750592,204586881024.0000,4185.8300,-1.708669
2020-01-22,4093.8000,4141.1770,4046.4860,4131.9310,12675876352,208136151040.0000,4114.3080,0.428334
2020-01-23,4093.3220,4103.5240,3972.3930,4003.9010,16035760384,250409357312.0000,4131.9310,-3.098551
2020-02-03,3639.9080,3732.1570,3639.9080,3688.3570,15755964672,243303104512.0000,4003.9010,-7.880914
2020-02-04,3652.0030,3786.8620,3652.0030,3785.6370,21393332736,298165768192.0000,3688.3570,2.637489
2020-02-05,3801.0990,3866.0100,3781.6130,3828.5270,17492552448,264042921984.0000,3785.6370,1.132967
2020-02-06,3841.7530,3914.9150,3806.9600,3899.7750,17646223616,262820089856.0000,3828.5270,1.860977
2020-02-07,3879.5530,3899.8830,3849.7120,3899.8690,15173175808,237508816896.0000,3899.7750,0.002410
2020-02-10,3872.3730,3920.1660,3861.0060,3916.0050,14840696832,229625442304.0000,3899.8690,0.413757
2020-02-11,3926.4200,3970.5220,3915.7070,3952.4640,14344167424,219307118592.0000,3916.0050,0.931025
2020-02-12,3945.6660,3984.4320,3940.6660,3984.4320,12671032064,200776708096.0000,3952.4640,0.808812
2020-02-13,3985.8750,3999.5490,3950.1420,3959.9180,14500184320,228605964288.0000,3984.4320,-0.615245
2020-02-14,3954.2340,4001.5620,3954.0230,3987.7340,14323980288,222895075328.0000,3959.9180,0.702439
2020-02-17,3999.6510,4077.4460,3999.6510,4077.4240,18277896960,273067819008.0000,3987.7340,2.249147
2020-02-18,4069.8310,4076.3880,4027.7850,4057.5100,16323621888,242552516608.0000,4077.4240,-0.488397
2020-02-19,4049.5860,4085.1700,4042.8450,4051.3100,16904644096,257554534400.0000,4057.5100,-0.152803
2020-02-20,4062.8960,4148.5280,4055.8100,4144.6560,21223262464,310835589120.0000,4051.3100,2.304094
2020-02-21,4134.8740,4184.4370,4130.1670,4149.4900,21721360384,326564003840.0000,4144.6560,0.116632
2020-02-24,4131.8360,4149.0100,4097.1750,4132.8380,21286930432,326387802112.0000,4149.4900,-0.401302
2020-02-25,4066.3020,4126.7070,4020.9070,4123.8540,24416783104,372213719040.0000,4132.8380,-0.217381
2020-02-26,4070.0990,4132.7810,4061.1250,4073.0150,26109406208,366022418432.0000,4123.8540,-1.232803
2020-02-27,4084.0780,4110.5270,4067.4400,4084.8750,18129097984,282050207744.0000,4073.0150,0.291185
2020-02-28,3988.7270,4031.1450,3928.0660,3940.0480,23027509248,330358906880.0000,4084.8750,-3.545445
2020-03-02,3968.8430,4092.5390,3968.8430,4069.6660,21931355904,317426204672.0000,3940.0480,3.289757
2020-03-03,4125.1350,4147.6520,4067.9090,4091.3610,21936977664,330802585600.0000,4069.6660,0.533090
2020-03-04,4078.4990,4115.2610,4060.7290,4115.0520,18242472960,281784864768.0000,4091.3610,0.579049
2020-03-05,4150.2100,4215.8510,4127.0380,4206.7250,23182311424,362838831104.0000,4115.0520,2.227748
2020-03-06,4158.2020,4181.3100,4135.3900,4138.5070,17247571712,253168631808.0000,4206.7250,-1.621642
2020-03-09,4063.0760,4063.0760,3995.1313,3997.1325,20810203500,305428730303.8000,4138.5072,-3.416080
2020-03-10,3975.2288,4093.0024,3954.7506,4082.7315,19741640200,296184435851.3000,3997.1325,2.141510
2020-03-11,4090.9348,4091.2704,4028.3964,4028.4289,16165611100,244990872685.9000,4082.7315,-1.330056
2020-03-12,3976.1139,3987.4336,3926.2704,3950.9111,15706045800,233152848759.1000,4028.4289,-1.924269
2020-03-13,3771.0139,3937.1806,3765.1479,3895.3128,18829672200,280213453213.7000,3951.2145,-1.414798
2020-03-16,3899.8598,3899.8598,3720.5127,3727.8398,18596826000,282836238271.2000,3895.3128,-4.299347
2020-03-17,3739.7833,3786.8908,3618.3070,3709.6822,16624612900,250824025696.9000,3727.8398,-0.487081
2020-03-18,3729.6853,3775.8506,3636.3735,3637.5213,15323939600,241454419621.4000,3708.6213,-1.917154
2020-03-19,3623.7890,3647.9874,3503.1866,3589.0926,18080740700,271827467961.6000,3636.2565,-1.297045
2020-03-20,3629.5126,3663.9517,3588.7766,3653.2239,13960300000,211223073323.1000,3589.0926,1.786839
2020-03-23,3542.6837,3585.8014,3523.7877,3530.3058,13710879000,197669624970.1000,3653.2239,-3.364647
2020-03-24,3598.6548,3627.7592,3545.4524,3625.1146,14310302100,208553840688.5000,3530.3058,2.685569
2020-03-25,3711.4753,3732.6536,3685.9942,3722.5181,15349595800,231561518761.2000,3625.1146,2.686908
2020-03-26,3692.6083,3736.2536,3681.2668,3698.0472,11231066500,169336311861.4000,3722.5181,-0.657375
2020-03-27,3746.3914,3758.7827,3709.9213,3710.0605,12406099500,186103426334.7000,3698.0472,0.324855
2020-03-30,3657.4624,3690.6388,3637.5853,3674.1108,12687667300,180640799409.3000,3710.0605,-0.968979
2020-03-31,3708.1404,3716.0707,3676.2024,3686.1551,11145302500,161595510008.2000,3674.1108,0.327815
2020-04-01,3682.2966,3731.7799,3670.9653,3675.0758,11935262000,170422568804.4000,3686.1551,-0.300565
2020-04-02,3656.3225,3734.5306,3652.3167,3734.5306,11516820900,168893255656.6000,3675.0758,1.617784
2020-04-03,3721.4815,3738.8323,3698.9822,3713.2183,9982508300,150132815028.5000,3734.5306,-0.570682
2020-04-07,3779.9076,3803.6286,3772.2054,3798.0214,14277803000,207642820316.9000,3713.2183,2.283817
2020-04-08,3776.4171,3793.0023,3767.2924,3780.3445,11138951300,161576772320.2000,3798.0214,-0.465424
2020-04-09,3798.4879,3801.7245,3785.3116,3792.8105,10048503200,154595318812.8000,3780.3445,0.329758
2020-04-10,3794.8429,3824.7441,3758.9599,3769.1782,10244495600,162251233800.7000,3792.8105,-0.623081
2020-04-13,3751.7093,3769.8764,3740.1936,3753.2566,7905334300,119874303204.6000,3769.1782,-0.422416
2020-04-14,3777.8343,3825.7599,3764.9838,3825.6991,11063758500,170612579792.4000,3753.2566,1.930124
2020-04-15,3820.8506,3829.8009,3793.4402,3797.3623,10846198400,169700216633.0000,3825.6991,-0.740696
2020-04-16,3777.7986,3807.3569,3774.5585,3802.3806,9594796500,147164302056.9000,3797.3623,0.132152
2020-04-17,3831.9232,3863.4521,3821.4201,3839.4871,13200430100,203595267033.5000,3802.3806,0.975875
2020-04-20,3747.8408,3853.8058,3733.7983,3853.4551,10001311500,151924090116.6000,3839.4871,0.363799
2020-04-21,3838.2314,3838.2314,3779.9967,3808.0474,10292188800,155077454132.0000,3853.4551,-1.178363
2020-04-22,3789.1297,3839.3834,3782.2149,3839.3834,8589946400,135547280790.2000,3808.0474,0.822889
2020-04-23,3851.9132,3857.4709,3826.5565,3829.7525,9550845000,142122548831.8000,3839.3834,-0.250845
2020-04-24,3826.3116,3827.2120,3787.0714,3796.9721,9484413500,138961200282.7000,3829.7525,-0.855940
2020-04-27,3808.0171,3842.8706,3793.7655,3822.7690,9546273500,145301151875.0000,3796.9721,0.679407
2020-04-28,3835.3480,3859.6754,3768.2000,3849.1465,12209347600,184179759240.3000,3822.7690,0.690010
2020-04-29,3837.5135,3880.7444,3833.7164,3867.0320,9585459000,151282103744.2000,3849.1465,0.464661
2020-04-30,3880.4094,3921.7004,3880.4094,3912.5772,13291712500,202268288802.3000,3867.0320,1.177782
2020-05-06,3867.2587,3937.6909,3865.9875,3936.2539,13985567500,214935962364.4000,3912.5772,0.605143
2020-05-07,3937.5918,3941.4833,3915.9048,3924.8946,10551464600,167207801840.2000,3936.2539,-0.288581
2020-05-08,3942.9972,3979.6627,3935.9805,3963.6217,11694334100,190299584716.9000,3924.8946,0.986704
2020-05-11,3974.7605,3998.0972,3944.5037,3960.1803,12267380300,193758093899.8000,3963.6217,-0.086825
2020-05-12,3961.3427,3970.1115,3930.2108,3960.2378,9825055400,157465780059.9000,3960.1803,0.001452
2020-05-13,3946.6428,3972.5254,3932.5711,3968.2529,8819066900,145563383275.8000,3960.2378,0.202389
2020-05-14,3952.1986,3952.1986,3924.0452,3925.2177,8853000400,143499177719.8000,3968.2529,-1.084487
2020-05-15,3941.1250,3945.1956,3907.4021,3912.8159,9261838200,153301505149.4000,3925.2177,-0.315952
2020-05-18,3914.6602,3946.4312,3898.4041,3922.9117,11280176200,188528121367.6000,3912.8159,0.258019
2020-05-19,3963.7754,3966.8518,3944.0715,3956.2495,9401529100,159886222402.2000,3922.9117,0.849823
2020-05-20,3955.7145,3955.7145,3923.9213,3935.2220,10079115000,157102533276.1000,3956.2495,-0.531501
2020-05-21,3950.5981,3951.7430,3907.5788,3913.7949,9486103300,149154142257.8000,3935.2220,-0.544495
2020-05-22,3907.5761,3907.5761,3818.1488,3824.0640,10337836000,157286504986.3000,3913.7949,-2.292683
2020-05-25,3828.3206,3835.6333,3800.1796,3829.3245,7903332600,127011917716.3000,3824.0640,0.137563
2020-05-26,3850.0009,3874.7484,3844.4776,3872.7701,7744807600,125445619316.8000,3829.3245,1.134550
2020-05-27,3873.6984,3873.6984,3838.4247,3845.6135,8371183100,123737501164.5000,3872.7701,-0.701219
2020-05-28,3848.4892,3885.4211,3818.4318,3856.6324,9306405400,139108407792.3000,3845.6135,0.286532
2020-05-29,3838.3769,3872.3031,3830.4185,3867.0232,9381383200,135658136028.2000,3856.6324,0.269427
2020-06-01,3901.7263,3976.3151,3901.7263,3971.3402,13645665200,208436512945.1000,3867.0232,2.697605
2020-06-02,3969.9521,3991.7761,3958.9774,3983.5677,14430306000,195563304256.3000,3971.3402,0.307894
2020-06-03,4001.1708,4018.6759,3982.9299,3983.6477,13659748300,200882767676.9000,3983.5677,0.002008
2020-06-04,3998.1636,3999.8051,3968.5723,3982.1851,10427773700,149057855837.5000,3983.6477,-0.036715
2020-06-05,3988.2239,4001.2509,3967.9260,4001.2509,10244394200,154311342981.8000,3982.1851,0.478777
2020-06-08,4023.6060,4050.2213,4016.1015,4021.9549,13792581300,193047518687.6000,4001.2509,0.517438
2020-06-09,4027.5613,4052.1557,4016.3387,4047.0293,11530447900,166533966010.0000,4021.9549,0.623438
2020-06-10,4046.2317,4046.2317,4024.4185,4039.7051,11226572800,166778642366.2000,4047.0293,-0.180977
2020-06-11,4031.7396,4043.0123,3979.7522,3995.8846,12730894100,197079441861.1000,4039.7051,-1.084745
2020-06-12,3931.6236,4011.0591,3927.2491,4003.0829,13416664900,193504046742.3000,3995.8846,0.180143
2020-06-15,3982.9672,4007.1396,3954.9883,3954.9883,13129786000,211125336143.8000,4003.0829,-1.201439
2020-06-16,3995.5786,4014.5702,3987.8637,4014.5702,11105153900,185104029158.9000,3954.9883,1.506500
2020-06-17,4018.6094,4018.6094,3992.1339,4017.5941,10560579900,176977503611.2000,4014.5702,0.075323
2020-06-18,4009.7831,4047.5566,4000.9008,4044.3842,13814876100,210192918146.2000,4017.5941,0.666819
2020-06-19,4047.0483,4109.3602,4043.4925,4098.7095,15294699000,255549797299.6000,4044.3842,1.343228
2020-06-22,4097.5071,4126.9421,4088.7822,4102.0459,15582946500,259200520725.7000,4098.7095,0.081401
2020-06-23,4098.0373,4124.7250,4080.7533,4121.7944,12922951000,234806510834.5000,4102.0459,0.481430
2020-06-24,4128.1003,4144.6782,4123.3582,4138.9895,12171246500,224551430008.0000,4121.7944,0.417175
2020-06-29,4127.9348,4137.3696,4092.5352,4109.7164,13086585400,226522059762.9000,4138.9895,-0.707252
2020-06-30,4130.0028,4174.4236,4129.7754,4163.9637,12593352100,227935704488.9000,4109.7164,1.319977
2020-07-01,4172.6425,4247.7835,4163.4954,4247.7835,16999045600,305711799761.9000,4163.9637,2.012981
2020-07-02,4239.4080,4340.1039,4238.1164,4335.8445,25293936800,399571526695.3000,4247.7835,2.073105
2020-07-03,4353.1937,4419.5955,4348.4535,4419.5955,29048553900,442335024266.1000,4335.8445,1.931596
2020-07-06,4465.8081,4678.1121,4465.8081,4670.0949,40582102500,597438217715.6000,4419.5955,5.667926
2020-07-07,4739.6104,4796.3155,4688.0574,4698.1264,40600855300,635254742706.0000,4670.0949,0.600234
2020-07-08,4692.8621,4803.3643,4670.6501,4774.0042,34807484700,532849825964.5000,4698.1264,1.615065
2020-07-09,4770.0769,4854.1201,4757.2943,4840.7712,35104689300,556718732098.9000,4774.0042,1.398553
2020-07-10,4796.0873,4821.3745,4734.4725,4753.1333,31694965100,510472055095.9000,4840.7712,-1.810412
2020-07-13,4742.3738,4878.0773,4741.8743,4852.9612,32164544600,541105098721.0000,4753.1333,2.100255
2020-07-14,4836.1655,4860.4404,4729.9258,4806.6902,29724198500,511211048184.9000,4852.9612,-0.953459
2020-07-15,4821.5155,4837.4757,4723.3608,4744.4687,27238900600,486748347680.4000,4806.6902,-1.294477
2020-07-16,4741.5295,4772.5638,4513.6537,4516.2532,28465713300,511237962884.2000,4744.4687,-4.810138
2020-07-17,4524.7717,4601.3733,4485.8214,4544.7007,20737556300,372973887045.7000,4516.2532,0.629892
2020-07-20,4597.2038,4681.9431,4534.2305,4680.3046,24606891400,416714222275.7000,4544.7007,2.983781
2020-07-21,4697.5026,4714.2925,4661.4440,4691.0425,20041565900,356069805762.6000,4680.3046,0.229427
2020-07-22,4682.6575,4790.4491,4675.3488,4714.4454,22419921100,386470859914.3000,4691.0425,0.498885
2020-07-23,4668.7401,4731.4004,4607.6585,4712.4357,23431456900,405175268660.9000,4714.4454,-0.042629
2020-07-24,4679.0273,4691.6980,4479.3928,4505.5906,24390520300,437726712279.7000,4712.4357,-4.389346
2020-07-27,4535.0053,4558.1189,4482.4408,4528.4500,17142055100,301893370163.2000,4505.5906,0.507356
2020-07-28,4567.6691,4590.2496,4537.6849,4568.2576,16276849800,292835785345.2000,4528.4500,0.879056
2020-07-29,4559.1634,4680.5580,4548.8535,4679.0080,18669530500,350432649160.5000,4568.2576,2.424347
2020-07-30,4689.7632,4704.6305,4649.7677,4656.1506,16696756600,324009242692.4000,4679.0080,-0.488510
2020-07-31,4652.1824,4741.8084,4621.9635,4695.0462,18483902600,351119312415.0000,4656.1506,0.835360
2020-08-03,4735.8985,4771.3694,4720.0250,4771.3108,21477623900,401914824928.3000,4695.0462,1.624363
2020-08-04,4778.4866,4807.0782,4747.7748,4775.8024,23997498500,426411345935.8000,4771.3108,0.094138
2020-08-05,4761.7637,4786.7031,4711.2723,4777.1089,19670054800,347407839399.1000,4775.8024,0.027357
2020-08-06,4779.2377,4791.8565,4691.1569,4762.7642,22785440600,404323404006.9000,4777.1089,-0.300280
2020-08-07,4742.2939,4749.0217,4637.8427,4707.9262,21351821600,397041212825.1000,4762.7642,-1.151390
2020-08-10,4681.7553,4757.6634,4646.2885,4724.8697,20378883200,371297560017.6000,4707.9262,0.359893
